date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2020-06-09 07:33:54+00,bike,Intersection,,CUMMINS HWY,RICHMERE RD,764251.850000000000,2923846.120000000000,-71.10065398802993,42.27048752083195
2015-06-06 23:03:15+00,bike,Street,SELDEN ST,LENA TER,WOODDALE AVE,768323.400000000000,2926404.870000000000,-71.08575627551225,42.27755045946518
2023-12-19 10:08:09+00,bike,Intersection,,HANO ST,CAMBRIDGE ST,754473.450000000000,2954254.910000000000,-71.13630301411898,42.35405094691137
2015-05-19 22:01:12+00,bike,Intersection,,NEW ENGLAND AVE,TALBOT AVE,770568.290000000000,2931627.610000000000,-71.0771741294763,42.29175688307523
2015-08-07 07:05:28+00,bike,Intersection,,BEACON ST,MASSACHUSETTS AVE,767133.970000000000,2953148.660000000000,-71.08948419862202,42.3508576342531
2020-04-22 09:10:26+00,bike,Intersection,,HARRISON AVE,MASSACHUSETTS AVE,771043.070000000000,2947377.920000000000,-71.0751293142311,42.334969998355284
2022-07-13 12:09:14+00,bike,Intersection,,HUNTINGTON AVE,MASSACHUSETTS AVE,768353.160000000000,2950235.900000000000,-71.08502638690909,42.34284874118322
2016-11-08 09:59:32+00,bike,Street,CAMBRIDGE ST,DUSTIN ST,WARREN ST,751610.340000000000,2952969.160000000000,-71.14673707627823,42.350309855002266
2017-04-30 03:19:11+00,bike,Intersection,,CLARENDON ST,COMMONWEALTH AVE,770731.600000000000,2953817.160000000000,-71.07616289307175,42.35264371429921
2017-11-03 13:53:29+00,bike,Street,COTTAGE ST,ROBEY ST,NORFOLK AVE,773096.720000000000,2942360.280000000000,-71.06762711962898,42.32126309773859
